LODI;ABBADIA CERRETO
LECCO;ABBADIA LARIANA
MILANO;ABBIATEGRASSO
BRESCIA;ACQUAFREDDA
CREMONA;ACQUANEGRA CREMONESE
MANTOVA;ACQUANEGRA SUL CHIESE
BERGAMO;ADRARA SAN MARTINO
BERGAMO;ADRARA SAN ROCCO
BRESCIA;ADRO
CREMONA;AGNADELLO
BRESCIA;AGNOSINE
VARESE;AGRA
MONZA E BRIANZA;AGRATE BRIANZA
MONZA E BRIANZA;AICURZIO
LECCO;AIRUNO
PAVIA;ALAGNA
MILANO;ALBAIRATE
BERGAMO;ALBANO SANT'ALESSANDRO
PAVIA;ALBAREDO ARNABOLDI
SONDRIO;ALBAREDO PER SAN MARCO
COMO;ALBAVILLA
COMO;ALBESE CON CASSANO
MONZA E BRIANZA;ALBIATE
BERGAMO;ALBINO
COMO;ALBIOLO
VARESE;ALBIZZATE
PAVIA;ALBONESE
SONDRIO;ALBOSAGGIA
PAVIA;ALBUZZANO
BRESCIA;ALFIANELLO
BERGAMO;ALGUA
BERGAMO;ALMÈ
BERGAMO;ALMENNO SAN BARTOLOMEO
BERGAMO;ALMENNO SAN SALVATORE
COMO;ALSERIO
COMO;ALTA VALLE INTELVI
BERGAMO;ALZANO LOMBARDO
COMO;ALZATE BRIANZA
BERGAMO;AMBIVERE
SONDRIO;ANDALO VALTELLINO
BRESCIA;ANFO
VARESE;ANGERA
BRESCIA;ANGOLO TERME
CREMONA;ANNICCO
LECCO;ANNONE DI BRIANZA
BERGAMO;ANTEGNATE
COMO;ANZANO DEL PARCO
COMO;APPIANO GENTILE
SONDRIO;APRICA
BERGAMO;ARCENE
VARESE;ARCISATE
MILANO;ARCONATE
MONZA E BRIANZA;ARCORE
SONDRIO;ARDENNO
BERGAMO;ARDESIO
PAVIA;ARENA PO
MILANO;ARESE
COMO;ARGEGNO
MILANO;ARLUNO
COMO;AROSIO
VARESE;ARSAGO SEPRIO
BRESCIA;ARTOGNE
BERGAMO;ARZAGO D'ADDA
MANTOVA;ASOLA
MILANO;ASSAGO
COMO;ASSO
BERGAMO;AVERARA
BERGAMO;AVIATICO
CREMONA;AZZANELLO
BRESCIA;AZZANO MELLA
BERGAMO;AZZANO SAN PAOLO
VARESE;AZZATE
VARESE;AZZIO
BERGAMO;AZZONE
PAVIA;BADIA PAVESE
PAVIA;BAGNARIA
BERGAMO;BAGNATICA
CREMONA;BAGNOLO CREMASCO
BRESCIA;BAGNOLO MELLA
MANTOVA;BAGNOLO SAN VITO
BRESCIA;BAGOLINO
LECCO;BALLABIO
MILANO;BARANZATE
VARESE;BARASSO
BRESCIA;BARBARIGA
BERGAMO;BARBATA
PAVIA;BARBIANELLO
VARESE;BARDELLO
MILANO;BAREGGIO
BRESCIA;BARGHE
BERGAMO;BARIANO
MONZA E BRIANZA;BARLASSINA
COMO;BARNI
LECCO;BARZAGO
BERGAMO;BARZANA
LECCO;BARZANÒ
LECCO;BARZIO
PAVIA;BASCAPÈ
MILANO;BASIANO
MILANO;BASIGLIO
BRESCIA;BASSANO BRESCIANO
PAVIA;BASTIDA PANCARANA
PAVIA;BATTUDA
VARESE;BEDERO VALCUVIA
BRESCIA;BEDIZZOLE
BERGAMO;BEDULITA
PAVIA;BELGIOIOSO
COMO;BELLAGIO
LECCO;BELLANO
MILANO;BELLINZAGO LOMBARDO
MONZA E BRIANZA;BELLUSCO
SONDRIO;BEMA
COMO;BENE LARIO
BERGAMO;BERBENNO
SONDRIO;BERBENNO DI VALTELLINA
COMO;BEREGAZZO CON FIGLIARO
PAVIA;BEREGUARDO
BERGAMO;BERGAMO
BRESCIA;BERLINGO
MONZA E BRIANZA;BERNAREGGIO
MILANO;BERNATE TICINO
LODI;BERTONICO
BRESCIA;BERZO DEMO
BRESCIA;BERZO INFERIORE
BERGAMO;BERZO SAN FERMO
MONZA E BRIANZA;BESANA IN BRIANZA
VARESE;BESANO
MILANO;BESATE
VARESE;BESNATE
VARESE;BESOZZO
VARESE;BIANDRONNO
BERGAMO;BIANZANO
SONDRIO;BIANZONE
MONZA E BRIANZA;BIASSONO
BRESCIA;BIENNO
MANTOVA;BIGARELLO
COMO;BINAGO
MILANO;BINASCO
BRESCIA;BIONE
VARESE;BISUSCHIO
COMO;BIZZARONE
BERGAMO;BLELLO
COMO;BLESSAGNO
COMO;BLEVIO
VARESE;BODIO LOMNAGO
LODI;BOFFALORA D'ADDA
MILANO;BOFFALORA SOPRA TICINO
BERGAMO;BOLGARE
MILANO;BOLLATE
BERGAMO;BOLTIERE
BERGAMO;BONATE SOPRA
BERGAMO;BONATE SOTTO
CREMONA;BONEMERSE
CREMONA;BORDOLANO
PAVIA;BORGARELLO
LODI;BORGHETTO LODIGIANO
BERGAMO;BORGO DI TERZO
MANTOVA;BORGO MANTOVANO
PAVIA;BORGO PRIOLO
BRESCIA;BORGO SAN GIACOMO
LODI;BORGO SAN GIOVANNI
PAVIA;BORGO SAN SIRO
MANTOVA;BORGO VIRGILIO
MANTOVA;BORGOFRANCO SUL PO
PAVIA;BORGORATTO MORMOROLO
BRESCIA;BORGOSATOLLO
SONDRIO;BORMIO
PAVIA;BORNASCO
BRESCIA;BORNO
LECCO;BOSISIO PARINI
PAVIA;BOSNASCO
BERGAMO;BOSSICO
BERGAMO;BOTTANUCO
BRESCIA;BOTTICINO
BRESCIA;BOVEGNO
BRESCIA;BOVEZZO
MONZA E BRIANZA;BOVISIO-MASCIAGO
MANTOVA;BOZZOLO
BERGAMO;BRACCA
PAVIA;BRALLO DI PREGOLA
BRESCIA;BRANDICO
BERGAMO;BRANZI
BRESCIA;BRAONE
VARESE;BREBBIA
VARESE;BREGANO
COMO;BREGNANO
BERGAMO;BREMBATE
BERGAMO;BREMBATE DI SOPRA
LODI;BREMBIO
PAVIA;BREME
COMO;BRENNA
BRESCIA;BRENO
VARESE;BRENTA
BRESCIA;BRESCIA
PAVIA;BRESSANA BOTTARONE
MILANO;BRESSO
VARESE;BREZZO DI BEDERO
COMO;BRIENNO
BERGAMO;BRIGNANO GERA D'ADDA
VARESE;BRINZIO
BRESCIA;BRIONE
MONZA E BRIANZA;BRIOSCO
VARESE;BRISSAGO-VALTRAVAGLIA
LECCO;BRIVIO
PAVIA;BRONI
MONZA E BRIANZA;BRUGHERIO
BERGAMO;BRUMANO
COMO;BRUNATE
VARESE;BRUNELLO
BERGAMO;BRUSAPORTO
VARESE;BRUSIMPIANO
MILANO;BUBBIANO
MILANO;BUCCINASCO
SONDRIO;BUGLIO IN MONTE
VARESE;BUGUGGIATE
LECCO;BULCIAGO
COMO;BULGAROGRASSO
MONZA E BRIANZA;BURAGO DI MOLGORA
MILANO;BUSCATE
MONZA E BRIANZA;BUSNAGO
MILANO;BUSSERO
VARESE;BUSTO ARSIZIO
MILANO;BUSTO GAROLFO
CREMONA;CA' D'ANDREA
COMO;CABIATE
VARESE;CADEGLIANO-VICONAGO
COMO;CADORAGO
VARESE;CADREZZATE
COMO;CAGLIO
COMO;CAGNO
BRESCIA;CAINO
SONDRIO;CAIOLO
VARESE;CAIRATE
BERGAMO;CALCINATE
BRESCIA;CALCINATO
BERGAMO;CALCIO
LECCO;CALCO
LECCO;CALOLZIOCORTE
BERGAMO;CALUSCO D'ADDA
BRESCIA;CALVAGESE DELLA RIVIERA
CREMONA;CALVATONE
BERGAMO;CALVENZANO
PAVIA;CALVIGNANO
MILANO;CALVIGNASCO
BRESCIA;CALVISANO
MILANO;CAMBIAGO
BERGAMO;CAMERATA CORNELLO
CREMONA;CAMISANO
CREMONA;CAMPAGNOLA CREMASCA
MONZA E BRIANZA;CAMPARADA
COMO;CAMPIONE D'ITALIA
SONDRIO;CAMPODOLCINO
PAVIA;CAMPOSPINOSO
