ANNO_INCIDENTE;PROV;COMUNE;TOT_INC;DI_CUI_INC_MORTALI;TOT_FERITI;TOT_MORTI;VEIC_COINVOLTI_(IDENTIFICATO_CONDUCENTE);DI_CUI_ALTRI_VEIC_COINVOLTI;CONDUC_TOTALI;DI_CUI_CONDUC_FEMMINE;CONDUC_FERITI;CONDUC_MORTI_ENTRO24h;CONDUC_IGNOTI;CONDUC_ETÀ_0-14_INC;CONDUC_ETÀ_15-19_INC;CONDUC_ETÀ_20-64_INC;CONDUC_ETÀ_65_E_OLTRE_INC;CONDUC_ETÀ_0-14_FERITI;CONDUC_ETÀ_15-19_FERITI;CONDUC_ETÀ_20-64_FERITI;CONDUC_ETÀ_65_E_OLTRE_FERITI;CONDUC_ETÀ_0-14_MORTI;CONDUC_ETÀ_15-19_MORTI;CONDUC_ETÀ_20-64_MORTI;CONDUC_ETÀ_65_E_OLTRE_MORTI;PASSEGGERI_FERITI;PASSEGGERI_MORTI;PEDONI_FERITI;PEDONI_MORTI;STRADE_URBANE_INC;STRADE_URBANE_FERITI;STRADE_URBANE_MORTI;STRADE_EXTRAURB_(NO_AUTOSTR)_INC;STRADE_EXTRAURB_(NO_AUTOSTR)_FERITI;STRADE_EXTRAURB_(NO_AUTOSTR)_MORTI;AUTOSTR_INC;AUTOSTR_FERITI;AUTOSTR_MORTI;INC_TRA_VEIC_IN_MARCIA;INC_TRA_VEIC_E_PEDONE;INC_TRA_VEIC_ISOLATI;WEEKEND_INC;FERIALI_INC;NOTTE_INC;GIORNO_INC;ORE_DI_PUNTA_07-09_INC;ORE_DI_PUNTA_17-19_INC;SERENO_INC;NEBBIA_INC;PIOGGIA-NEVE_INC;VEIC_COINVOLTI_AUTOVET_(PRIV_E_PUB);VEIC_COINVOLTI_AUTOCAR_E_SIMILI;VEIC_COINVOLTI_MOTOCICLI;VEIC_COINVOLTI_VELOCIPEDI
2000;BERGAMO;MEDOLAGO;4;0;10;0;8;0;8;2;6;2;0;0;1;7;0;0;1;5;0;0;0;0;0;4;0;0;0;4;10;0;0;0;0;0;0;0;4;0;0;0;4;2;1;0;1;3;0;1;6;1;0;1
2000;BRESCIA;ACQUAFREDDA;5;0;12;0;8;0;8;2;5;3;0;0;1;6;0;0;0;5;0;0;0;0;0;7;0;0;0;2;3;0;3;9;0;0;0;0;2;0;3;2;3;3;2;1;1;3;0;0;8;0;0;0
2000;BRESCIA;ADRO;26;2;44;3;47;0;47;8;26;19;0;2;4;36;4;2;4;19;1;0;0;2;0;18;1;0;0;18;28;3;4;6;0;4;10;0;20;0;6;11;15;4;22;1;7;20;0;2;35;3;8;1
2000;BRESCIA;AGNOSINE;4;0;6;0;6;0;6;1;5;1;0;0;0;5;1;0;0;5;0;0;0;0;0;1;0;0;0;1;1;0;3;5;0;0;0;0;1;0;3;3;1;1;3;0;0;2;0;1;5;0;1;0
2000;BRESCIA;ALFIANELLO;4;1;10;1;7;0;7;3;6;0;0;0;0;6;1;0;0;5;1;0;0;1;0;4;0;0;0;3;9;0;1;1;1;0;0;0;3;0;1;1;3;0;4;0;3;2;0;2;7;0;0;0
2000;BRESCIA;ANFO;4;1;9;2;10;0;10;3;5;3;0;0;0;10;0;0;0;5;0;0;0;2;0;4;0;0;0;1;2;0;3;7;2;0;0;0;4;0;0;2;2;0;4;0;0;1;0;1;7;0;3;0
2000;BRESCIA;ANGOLO TERME;2;0;4;0;4;0;4;0;3;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;3;0;0;0;0;1;0;1;0;2;0;2;0;0;1;0;0;3;0;1;0
2000;BRESCIA;ARTOGNE;5;0;8;0;12;1;11;0;6;5;0;0;1;10;0;0;0;6;0;0;0;0;0;2;0;0;0;3;4;0;2;4;0;0;0;0;4;0;1;1;4;0;5;0;2;4;0;1;8;2;1;0
2000;BRESCIA;AZZANO MELLA;6;1;11;1;14;1;12;0;6;5;1;0;0;12;0;0;0;6;0;0;0;1;0;5;0;0;0;2;5;0;4;6;1;0;0;0;6;0;0;2;4;0;6;0;3;4;0;2;10;0;2;0
2000;BRESCIA;BAGNOLO MELLA;23;2;44;2;44;0;44;7;26;17;0;0;1;43;0;0;1;25;0;0;0;1;0;18;1;0;0;13;22;1;4;6;1;6;16;0;17;0;6;7;16;11;12;2;4;16;0;5;34;8;2;0
