ANNO_INCIDENTE;PROV;COD_COM;COMUNE;TOT_INC;DI_CUI_INC_MORTALI;TOT_FERITI;TOT_MORTI;VEIC_COINVOLTI_(IDENTIFICATO_CONDUCENTE);DI_CUI_ALTRI_VEIC_COINVOLTI;CONDUC_TOTALI;DI_CUI_CONDUC_FEMMINE;PASSEGGERI_INFORTUNATI;DI_CUI_PASSEGGERI_INFORTUNATI_FEMMINE;PEDONI_INFORTUNATI;DI_CUI_PEDONI_INFORTUNATI_FEMMINE;CONDUC_FERITI;CONDUC_MORTI_ENTRO24h;CONDUC_IGNOTI;CONDUC_MORTI_ENTRO30gg;CONDUC_ETÀ_0-14_INC;CONDUC_ETÀ_15-19_INC;CONDUC_ETÀ_20-64_INC;CONDUC_ETÀ_65_E_OLTRE_INC;CONDUC_ETÀ_0-14_FERITI;CONDUC_ETÀ_15-19_FERITI;CONDUC_ETÀ_20-64_FERITI;CONDUC_ETÀ_65_E_OLTRE_FERITI;CONDUC_ETÀ_0-14_MORTI;CONDUC_ETÀ_15-19_MORTI;CONDUC_ETÀ_20-64_MORTI;CONDUC_ETÀ_65_E_OLTRE_MORTI;PASSEGGERI_FERITI;PASSEGGERI_MORTI;PEDONI_FERITI;PEDONI_MORTI;ALTRI_VEIC_FERITI;ALTRI_VEIC_MORTI;INTERSEZIONE_INC;INTERSEZIONE_FERITI;NON_INTERSEZIONE_MORTI_ENTRO24h;NON_INTERSEZIONE_INC;NON_INTERSEZIONE_FERITI;NON_INTERSEZIONE_MORTI__ENTRO30gg;STRADE_URBANE_INC;STRADE_URBANE_FERITI;STRADE_URBANE_MORTI;STRADE_EXTRAURB_(NO_AUTOSTR)_INC;STRADE_EXTRAURB_(NO_AUTOSTR)_FERITI;STRADE_EXTRAURB_(NO_AUTOSTR)_MORTI;AUTOSTR_INC;AUTOSTR_FERITI;AUTOSTR_MORTI;INC_TRA_VEIC_IN_MARCIA;INC_TRA_VEIC_IN_MARCIA_FERITI;INC_TRA_VEIC_IN_MARCIA_MORTI;INC_TRA_VEIC_E_PEDONE;INC_TRA_VEIC_E_PEDONE_FERITI;INC_TRA_VEIC_E_PEDONE_MORTI;INC_TRA_VEIC_ISOLATI;INC_TRA_VEIC_ISOLATI_FERITI;INC_TRA_VEIC_ISOLATI_MORTI;WEEKEND_INC;WEEKEND_FERITI;WEEKEND_MORTI;FERIALI_INC;FERIALI_FERITI;FERIALI_MORTI;NOTTE_INC;NOTTE_FERITI;NOTTE_MORTI;GIORNO_INC;GIORNO_FERITI;GIORNO_MORTI;ORE_DI_PUNTA_07-09_INC;ORE_DI_PUNTA_07-09_FERITI;ORE_DI_PUNTA_07-09_MORTI;ORE_DI_PUNTA_17-19_INC;ORE_DI_PUNTA_17-19_FERITI;ORE_DI_PUNTA_17-19_MORTI;SERENO_INC;SERENO_FERITI;SERENO_MORTI;NEBBIA_INC;NEBBIA_FERITI;NEBBIA_MORTI;PIOGGIA-NEVE_INC;PIOGGIA-NEVE_FERITI;PIOGGIA-NEVE_MORTI;VEIC_COINVOLTI_AUTOVET_(PRIV_E_PUB);AUTOVET_(PRIV_E_PUB)_FERITI;AUTOVET_(PRIV_E_PUB)_MORTI;VEIC_COINVOLTI_AUTOCAR_E_SIMILI;AUTOCAR_E_SIMILI_FERITI;AUTOCAR_E_SIMILI_MORTI;VEIC_COINVOLTI_MOTOCICLI;MOTOCICLI_FERITI;MOTOCICLI_MORTI;VEIC_COINVOLTI_VELOCIPEDI;VELOCIPEDI_FERITI;VELOCIPEDI_MORTI
2000;BERGAMO;16250;MEDOLAGO;4;;10;0;8;;8;2;4;3;0;0;6;2;0;0;0;1;7;0;0;1;5;0;0;0;0;0;4;0;0;0;0;0;1;1;0;3;9;0;4;10;0;;;;;;;4;10;0;0;0;0;0;0;0;0;0;0;4;10;0;2;6;0;1;3;0;0;0;0;1;3;0;3;9;0;0;0;0;1;1;0;6;9;0;1;1;0;0;0;0;1;;
2000;BRESCIA;17001;ACQUAFREDDA;5;;12;0;8;;8;2;7;4;0;0;5;3;0;0;0;1;6;0;0;0;5;0;0;0;0;0;7;0;0;0;0;0;3;9;0;2;3;0;2;3;0;3;9;0;;;;2;3;0;0;0;0;3;9;0;2;6;0;3;6;0;3;9;0;2;3;0;1;2;0;1;1;0;3;7;0;0;0;0;0;0;0;8;12;0;;;;0;0;0;;;
2000;BRESCIA;17002;ADRO;26;2;44;3;47;;47;8;17;9;0;0;26;19;0;2;2;4;36;4;2;4;19;1;0;0;2;0;18;1;0;0;0;0;15;29;3;11;15;0;18;28;3;4;6;0;4;10;0;20;35;3;0;0;0;6;9;0;11;17;0;15;27;3;4;5;0;22;39;3;1;2;0;7;12;0;20;28;1;0;0;0;2;3;0;35;38;3;3;4;0;8;2;0;1;;
2000;BRESCIA;17003;AGNOSINE;4;;6;0;6;;6;1;1;1;0;0;5;1;0;0;0;0;5;1;0;0;5;0;0;0;0;0;1;0;0;0;0;0;3;4;0;1;2;0;1;1;0;3;5;0;;;;1;2;0;0;0;0;3;4;0;3;5;0;1;1;0;1;2;0;3;4;0;0;0;0;0;0;0;2;3;0;0;0;0;1;1;0;5;5;0;;;;1;1;0;;;
2000;BRESCIA;17004;ALFIANELLO;4;1;10;1;7;;7;3;4;4;0;0;6;0;0;1;0;0;6;1;0;0;5;1;0;0;1;0;4;0;0;0;0;0;3;6;1;1;4;0;3;9;0;1;1;1;;;;3;8;1;0;0;0;1;2;0;1;4;0;3;6;1;;;;4;10;1;0;0;0;3;8;1;2;3;1;0;0;0;2;7;0;7;10;1;;;;0;0;0;;;
2000;BRESCIA;17005;ANFO;4;1;9;2;10;;10;3;4;2;0;0;5;3;0;2;0;0;10;0;0;0;5;0;0;0;2;0;4;0;0;0;0;0;4;9;2;;;;1;2;0;3;7;2;;;;4;9;2;0;0;0;0;0;0;2;8;0;2;1;2;;;;4;9;2;0;0;0;0;0;0;1;0;2;0;0;0;1;2;0;7;8;0;;;;3;1;2;;;
2000;BRESCIA;17006;ANGOLO TERME;2;;4;0;4;;4;0;1;1;0;0;3;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;3;0;1;1;0;1;1;0;1;3;0;;;;1;3;0;0;0;0;1;1;0;0;0;0;2;4;0;;;;2;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;4;0;;;;1;0;0;;;
2000;BRESCIA;17007;ARTOGNE;5;;8;0;12;1;11;0;2;0;0;0;6;5;0;0;0;1;10;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;3;6;0;2;2;0;3;4;0;2;4;0;;;;4;6;0;0;0;0;1;2;0;1;1;0;4;7;0;;;;5;8;0;0;0;0;2;4;0;4;6;0;0;0;0;1;2;0;8;6;0;2;2;0;1;0;0;;;
2000;BRESCIA;17008;AZZANO MELLA;6;1;11;1;14;1;12;0;5;3;0;0;6;5;1;1;0;0;12;0;0;0;6;0;0;0;1;0;5;0;0;0;0;0;3;3;0;3;8;1;2;5;0;4;6;1;;;;6;11;1;0;0;0;0;0;0;2;2;0;4;9;1;;;;6;11;1;0;0;0;3;3;1;4;9;0;0;0;0;2;2;1;10;10;1;;;;2;1;0;;;
2000;BRESCIA;17009;BAGNOLO MELLA;23;2;44;2;44;;44;7;19;7;0;0;26;17;0;1;0;1;43;0;0;1;25;0;0;0;1;0;18;1;0;0;0;0;18;36;2;5;8;0;13;22;1;4;6;1;6;16;0;17;31;1;0;0;0;6;13;1;7;14;0;16;30;2;11;19;2;12;25;0;2;3;0;4;9;0;16;31;1;0;0;0;5;8;0;34;37;2;8;4;0;2;3;0;;;
